Date,Test Tool Tip,Calories,Total Daily Calories
2/29/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1614.91,1614.91
3/1/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1626.08,1626.08
3/2/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1599.23,1599.23
3/3/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1640.72,1640.72
3/4/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1642.72,1642.72
3/5/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1510.36,1510.36
3/6/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1617.46,1617.46
3/7/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1535.78,1535.78
3/8/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1646.51,1646.51
3/9/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1233.37,1233.37
3/10/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1420.77,1420.77
3/11/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1526.15,1526.15
3/12/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,902.68,902.68
3/13/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1549.58,1549.58
3/14/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1435.7,1435.7
3/15/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1445.32,1445.32
3/16/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1563.78,1563.78
3/17/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1553.22,1553.22
3/18/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1594.6,1594.6
3/19/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1563.01,1563.01
3/20/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1554.97,1554.97
3/21/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1473.04,1473.04
3/22/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1491.82,1491.82
3/23/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1538.04,1538.04
3/24/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1440.72,1440.72
3/25/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1569.63,1569.63
3/26/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1656.8,1656.8
3/27/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1688.09,1688.09
3/28/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1362.89,1362.89
3/29/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1293.4,1293.4
3/30/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1515.98,1515.98
3/31/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1059.03,1059.03
4/1/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1518.33,1518.33
4/2/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1466.74,1466.74
4/3/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1653.24,1653.24
4/4/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1567.54,1567.54
4/5/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1467.9,1467.9
4/6/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1349.34,1349.34
4/7/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1365.6,1365.6
4/8/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1326.88,1326.88
4/9/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1449.93,1449.93
4/10/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1509.1,1509.1
4/11/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1621.76,1621.76
4/12/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1411.17,1411.17
4/13/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1189.56,1189.56
4/14/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1287.59,1287.59
4/15/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1349.02,1349.02
4/16/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1570.09,1570.09
4/17/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1549.01,1549.01
4/18/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1431.95,1431.95
4/19/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1471.37,1471.37
4/20/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1641.5,1641.5
4/21/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1488.91,1488.91
4/22/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1627.03,1627.03
4/23/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1450.44,1450.44
4/24/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1379.63,1379.63
