,date,calories
0,2016-02-29,1614.91
1,2016-03-01,1626.08
2,2016-03-02,1599.23
3,2016-03-03,1640.72
4,2016-03-04,1642.72
5,2016-03-05,1510.36
6,2016-03-06,1617.46
7,2016-03-07,1535.78
8,2016-03-08,1646.51
9,2016-03-09,1233.37
10,2016-03-10,1420.77
11,2016-03-11,1526.15
12,2016-03-12,902.68
13,2016-03-13,1549.58
14,2016-03-14,1435.7
15,2016-03-15,1445.32
16,2016-03-16,1563.78
17,2016-03-17,1553.22
18,2016-03-18,1594.6
19,2016-03-19,1563.01
20,2016-03-20,1554.97
21,2016-03-21,1473.04
22,2016-03-22,1491.82
23,2016-03-23,1538.04
24,2016-03-24,1440.72
25,2016-03-25,1569.63
26,2016-03-26,1656.8
27,2016-03-27,1688.09
28,2016-03-28,1362.89
29,2016-03-29,1293.4
30,2016-03-30,1515.98
31,2016-03-31,1059.03
32,2016-04-01,1518.33
33,2016-04-02,1466.74
34,2016-04-03,1653.24
35,2016-04-04,1567.54
36,2016-04-05,1467.9
37,2016-04-06,1349.34
38,2016-04-07,1365.6
39,2016-04-08,1326.88
40,2016-04-09,1449.93
41,2016-04-10,1509.1
42,2016-04-11,1621.76
43,2016-04-12,1411.17
44,2016-04-13,1189.56
45,2016-04-14,1287.59
46,2016-04-15,1349.02
47,2016-04-16,1570.09
48,2016-04-17,1549.01
49,2016-04-18,1431.95
50,2016-04-19,1471.37
51,2016-04-20,1641.5
52,2016-04-21,1488.91
53,2016-04-22,1627.03
54,2016-04-23,1450.44
55,2016-04-24,1379.63
56,2016-04-25,1545.43
57,2016-04-26,1582.89
58,2016-04-27,1507.9
59,2016-04-28,1559.22
60,2016-04-29,1415.09
61,2016-04-30,1308.88
62,2016-05-01,1460.07
63,2016-05-02,1403.48
64,2016-05-03,1347.59
65,2016-05-04,1241.76
66,2016-05-05,1394.12
67,2016-05-06,1461.2
68,2016-05-07,1426.12
69,2016-05-08,1464.8
70,2016-05-09,1460.25
71,2016-05-10,1143.82
72,2016-05-11,970.88
73,2016-05-12,1344.31
74,2016-05-13,1598.32
75,2016-05-14,1399.66
76,2016-05-15,1442.82
77,2016-05-16,1433.75
78,2016-05-17,1372.9
79,2016-05-18,1507.38
80,2016-05-19,1481.89
81,2016-05-20,1517.74
82,2016-05-21,1479.16
83,2016-05-22,1504.63
84,2016-05-23,1381.21
85,2016-05-24,1529.31
86,2016-05-25,1412.5
87,2016-05-26,1377.34
88,2016-05-27,1396.64
89,2016-05-28,1387.05
90,2016-05-29,1355.39
91,2016-05-30,1445.16
92,2016-05-31,1370.6
93,2016-06-01,1429.92
94,2016-06-02,1422.64
95,2016-06-03,1460.66
96,2016-06-04,1464.34
97,2016-06-05,1493.74
98,2016-06-06,1462.26
99,2016-06-07,1427.07
100,2016-06-08,1479.22
101,2016-06-09,1464.3
102,2016-06-10,1509.52
103,2016-06-11,1595.02
104,2016-06-12,1491.69
105,2016-06-13,1333.97
106,2016-06-14,1410.65
107,2016-06-15,1495.8
108,2016-06-16,1518.09
109,2016-06-17,1407.55
110,2016-06-18,1413.17
111,2016-06-19,1501.52
112,2016-06-20,1607.88
113,2016-06-21,1448.94
114,2016-06-22,1594.4
115,2016-06-23,1498.78
116,2016-06-24,1594.96
117,2016-06-25,1461.57
118,2016-06-26,1530.25
119,2016-06-27,1633.75
120,2016-06-28,1685.73
121,2016-06-29,1667.24
122,2016-06-30,1679.12
123,2016-07-01,1506.93
124,2016-07-02,1499.03
125,2016-07-03,1503.06
126,2016-07-04,1512.39
127,2016-07-05,1599.48
128,2016-07-06,1686.55
129,2016-07-07,1680.26
130,2016-07-08,1577.4
131,2016-07-09,1724.8
132,2016-07-10,1611.05
133,2016-07-11,1595.61
134,2016-07-12,1594.06
135,2016-07-13,1563.54
136,2016-07-14,1432.72
137,2016-07-15,1569.63
138,2016-07-16,1628.05
139,2016-07-17,1507.99
140,2016-07-18,1618.16
141,2016-07-19,1615.53
142,2016-07-20,1653.1
143,2016-07-21,1631.06
144,2016-07-22,1628.08
145,2016-07-23,1684.03
146,2016-07-24,1655.7
147,2016-07-25,1622.71
148,2016-07-26,1677.04
149,2016-07-27,1420.05
150,2016-07-28,1504.14
151,2016-07-29,1675.36
152,2016-07-30,1666.9
153,2016-07-31,1658.16
154,2016-08-01,1660.47
155,2016-08-02,1607.03
156,2016-08-03,1571.07
157,2016-08-04,1632.1
158,2016-08-05,1683.81
159,2016-08-06,1685.66
160,2016-08-07,1718.07
161,2016-08-08,1607.83
162,2016-08-09,1448.81
163,2016-08-10,1626.94
164,2016-08-11,1531.73
165,2016-08-12,1710.95
166,2016-08-13,1698.07
167,2016-08-14,1701.99
168,2016-08-15,1703.55
169,2016-08-16,1701.5
170,2016-08-17,1696.98
171,2016-08-18,1701.07
172,2016-08-19,1699.96
173,2016-08-20,1594.55
174,2016-08-21,1699.42
175,2016-08-22,1596.93
176,2016-08-23,1650.9
177,2016-08-24,1665.99
178,2016-08-25,1669.29
179,2016-08-26,1593.1
180,2016-08-27,1697.75
181,2016-08-28,1709.33
182,2016-08-29,1699.21
183,2016-08-30,1694.0
184,2016-08-31,1704.32
185,2016-09-01,1704.24
186,2016-09-02,1694.59
187,2016-09-03,1671.32
188,2016-09-04,1707.97
189,2016-09-05,1709.37
190,2016-09-06,1665.21
191,2016-09-07,1705.42
192,2016-09-08,1703.76
193,2016-09-09,1594.88
194,2016-09-10,1694.5
195,2016-09-11,1662.61
196,2016-09-12,1498.02
197,2016-09-13,1530.37
198,2016-09-14,1702.45
199,2016-09-15,1630.51
200,2016-09-16,1492.93
201,2016-09-17,1581.99
202,2016-09-18,1412.42
203,2016-09-19,1285.2
204,2016-09-20,1355.66
205,2016-09-21,1625.26
206,2016-09-22,1132.13
207,2016-09-23,1127.36
208,2016-09-24,1470.36
209,2016-09-25,1518.83
210,2016-09-26,1506.33
211,2016-09-27,1436.32
212,2016-09-28,1635.59
213,2016-09-29,1657.41
214,2016-09-30,1306.69
215,2016-10-01,1659.79
216,2016-10-02,1658.39
217,2016-10-03,1671.59
218,2016-10-04,1596.49
219,2016-10-05,1652.43
220,2016-10-06,1653.56
221,2016-10-07,1642.6
222,2016-10-08,1657.46
223,2016-10-09,1581.83
224,2016-10-10,1560.66
225,2016-10-11,1654.99
226,2016-10-12,1546.02
227,2016-10-13,1671.91
228,2016-10-14,1638.19
229,2016-10-15,1650.98
230,2016-10-16,1661.9
231,2016-10-17,1680.1
232,2016-10-18,1545.82
233,2016-10-19,1444.33
234,2016-10-20,1404.8
235,2016-10-21,1574.33
236,2016-10-22,1643.78
237,2016-10-23,1657.36
238,2016-10-24,1283.46
239,2016-10-25,1649.44
240,2016-10-26,1656.98
241,2016-10-27,1413.93
242,2016-10-28,1646.33
243,2016-10-29,1619.54
244,2016-10-30,1628.66
245,2016-10-31,1585.61
246,2016-11-01,1653.97
247,2016-11-02,1650.29
248,2016-11-03,1623.59
249,2016-11-04,1329.0
250,2016-11-05,1657.77
251,2016-11-06,1692.6
252,2016-11-07,1711.74
253,2016-11-08,1609.07
254,2016-11-09,974.0
255,2016-11-10,1658.33
256,2016-11-11,1659.59
257,2016-11-12,1653.55
258,2016-11-13,1593.62
259,2016-11-14,1630.66
260,2016-11-15,1661.66
261,2016-11-16,1627.67
262,2016-11-17,1640.66
263,2016-11-18,1646.75
264,2016-11-19,1608.62
265,2016-11-20,1650.88
266,2016-11-21,1641.22
267,2016-11-22,1668.93
268,2016-11-23,1642.89
269,2016-11-24,1642.32
270,2016-11-25,1692.9
271,2016-11-26,1624.26
272,2016-11-27,1925.98
273,2016-11-28,1615.74
274,2016-11-29,2206.69
275,2016-11-30,1616.8
276,2016-12-01,1606.8
277,2016-12-02,1595.33
278,2016-12-03,1651.02
279,2016-12-04,1919.79
280,2016-12-05,1653.56
281,2016-12-06,1653.05
282,2016-12-07,1435.39
